央视频道,#genre#
山东新闻,rtsp://150.138.8.132/PLTV/88888888/224/3221226137/10000100000000060000000003064294_0.smil
山东综艺,rtsp://150.138.8.132/PLTV/88888888/224/3221226235/10000100000000060000000003385298_0.smil
山东教育,rtsp://150.138.8.132/PLTV/88888888/224/3221226219/10000100000000060000000003301182_0.smil
其他频道,#genre#
CHC动作电影,rtsp://150.138.8.132/PLTV/88888888/224/3221227184/454656910.smil
CHC家庭影院,rtsp://150.138.8.132/PLTV/88888888/224/3221227188/454656891.smil
CHC影迷电影,rtsp://150.138.8.132/PLTV/88888888/224/3221227180/454656879.smil
北京纪实科教,rtsp://150.138.8.132/PLTV/88888888/224/3221226225/10000100000000060000000003301187_0.smil
湖南金鹰纪实,rtsp://150.138.8.132/PLTV/88888888/224/3221226221/10000100000000060000000003301183_0.smil
华数求索纪录,rtsp://150.138.8.132/PLTV/88888888/224/3221227231/457055034.smil
